facility_id,region,chemical_category,inventory_volume_tons,storage_condition_score,containment_score,weather_exposure_index,inspection_score,nearby_population,transfer_frequency_30d,days_since_inspection,container_age_years,leak_history_24m,chemical_hazard_index,temperature_excursion_count,longitude,latitude,record_date
FAC-001,North Industrial,Industrial Chemicals,25,85,83,28,75,62159,7,258,8,2,4,1,72.78264,18.59646,2026-05-06
FAC-002,Central Industrial,Acids,52,90,45,19,93,60794,8,174,7,4,13,6,72.57924,18.88641,2026-07-20
FAC-003,South Logistics,Oxidizers,25,63,51,57,92,50989,8,129,15,2,13,0,72.71788,19.0128,2026-08-19
FAC-004,West Industrial,Oxidizers,26,76,52,16,84,59130,6,165,9,2,13,1,72.7839,18.7508,2026-08-16
FAC-005,West Industrial,Alkaline,60,78,92,33,92,47187,7,200,1,4,7,1,72.89376,18.8815,2026-05-12
FAC-006,East Logistics,Acids,69,79,99,78,59,80427,1,229,1,0,14,2,73.02333,18.42737,2026-08-22
FAC-007,South Logistics,Oxidizers,4,82,72,46,63,50890,5,74,7,1,4,4,72.71048,18.76457,2026-08-25
FAC-008,Central Industrial,Oxidizers,39,93,73,47,67,25351,0,96,2,4,10,4,72.62995,18.44125,2026-01-26
FAC-009,West Industrial,Oxidizers,43,97,69,88,71,65348,8,236,4,1,11,2,72.78018,18.44716,2026-06-29
FAC-010,North Industrial,Industrial Chemicals,53,46,84,28,62,70229,6,198,14,2,8,4,73.09249,18.50935,2026-03-20
FAC-011,North Industrial,Acids,18,48,75,64,63,22097,5,27,3,4,14,5,73.00629,19.08516,2026-05-18
FAC-012,East Logistics,Industrial Chemicals,38,49,72,49,67,43433,7,63,5,2,1,2,72.41265,18.45319,2026-06-25
FAC-013,South Logistics,Industrial Chemicals,28,89,99,20,62,22994,2,236,15,0,12,0,72.6179,18.86181,2026-06-29
FAC-014,East Logistics,Solvents,71,70,60,55,93,68987,5,236,14,0,9,4,73.0968,19.06496,2026-08-18
FAC-015,South Logistics,Acids,38,51,56,34,63,70902,4,290,3,0,10,6,72.41665,18.7873,2026-07-02
FAC-016,West Industrial,Oxidizers,44,79,71,89,51,9618,5,128,6,0,3,6,72.77825,18.96325,2026-02-25
FAC-017,Central Industrial,Acids,16,71,48,68,75,11028,1,156,4,3,14,4,72.56036,18.32636,2026-06-27
FAC-018,North Industrial,Solvents,11,74,82,64,54,78498,1,131,10,2,10,4,72.77016,18.71926,2026-04-20
FAC-019,South Logistics,Alkaline,42,72,45,18,73,38193,3,278,4,2,10,2,73.00123,19.02877,2026-06-11
FAC-020,North Industrial,Oxidizers,62,71,56,53,93,25379,6,90,14,2,15,4,72.65879,19.05485,2026-04-29
FAC-021,North Industrial,Industrial Chemicals,74,83,96,12,84,72948,1,152,4,4,9,6,72.92814,18.87159,2026-01-10
FAC-022,West Industrial,Solvents,31,67,94,75,74,50079,3,170,10,4,9,1,73.07733,18.7973,2026-07-26
FAC-023,East Logistics,Industrial Chemicals,39,58,88,42,77,40851,8,110,5,0,7,2,72.99812,18.71929,2026-02-16
FAC-024,North Industrial,Alkaline,60,94,88,17,81,78315,6,125,2,3,7,5,72.65977,18.71824,2026-01-26
FAC-025,South Logistics,Oxidizers,84,57,87,58,92,7319,2,107,4,3,15,3,72.9281,19.00399,2026-06-11
FAC-026,North Industrial,Solvents,72,64,85,50,80,2364,1,296,14,0,9,5,73.08288,18.61255,2026-07-07
FAC-027,Central Industrial,Oxidizers,53,81,78,35,62,10239,1,296,12,3,12,2,72.63667,18.35045,2026-08-20
FAC-028,West Industrial,Oxidizers,63,79,74,21,57,9463,7,166,1,0,2,5,72.72059,18.65704,2026-02-13
FAC-029,West Industrial,Solvents,69,80,58,90,67,83897,0,221,2,0,10,0,72.61547,18.33598,2026-01-13
FAC-030,East Logistics,Solvents,57,79,59,62,60,11091,1,122,1,3,1,0,72.61148,18.5224,2026-01-18
FAC-031,East Logistics,Oxidizers,39,76,49,37,95,8750,4,167,8,2,5,5,72.37353,18.86928,2026-05-02
